stop_id,stop_code,stop_name,stop_lat,stop_lon,num_unique_routes,service_id
5407,2148,Dundas St West at East Mall Cres,43.6304,-79.5492,5,1
5480,13705,Sheppard Ave East at Parkway Forest Dr East Side,43.7759,-79.3427,5,1
5577,5188,Lake Shore Blvd West at Long Branch Ave,43.5947,-79.533,5,1
5609,1312,McCowan Rd at Pitfield Rd,43.7875,-79.2575,5,1
5626,6126,St Clair Ave East at Santamonica Blvd,43.7132,-79.2764,5,1
5662,650,Broadview Ave at Bater Ave,43.687,-79.3558,5,1
5667,5174,Lake Shore Blvd West at Burlington St,43.6174,-79.4874,5,1
5761,6216,Albion Rd at Armel Crt,43.7213,-79.546,5,1
5809,6217,Albion Rd at Armel Crt,43.7213,-79.5455,5,1
5856,7226,Sheppard Ave East at Parkway Forest Dr West Side,43.7756,-79.3452,5,1
6004,7700,Ellesmere Rd at Military Trail (West),43.7799,-79.217,5,1
6042,3108,Sheppard Ave West at Chesswood Dr,43.7556,-79.4738,5,1
6062,11334,York Mills Rd at Old York Mills Rd,43.7445,-79.405,5,1
6113,2032,Dufferin Gate Loop,43.6344,-79.4259,5,1
6125,3113,Sheppard Ave West at Tuscan Gate,43.753,-79.4828,5,1
6129,2072,Dufferin St at Liberty St,43.6374,-79.4269,5,1
6189,8524,Walsh Ave at Weston Rd,43.7172,-79.5372,5,1
6244,2824,Lawrence Ave West at Jane St,43.7027,-79.5042,5,1
654,9901,Islington Ave at Bloor St West North Side,43.6454,-79.5236,5,1
6591,9076,York Mills Rd at Leslie St,43.7528,-79.3602,5,1
6631,8855,Wilson Ave at Epic Lane Rd East Side,43.7212,-79.5058,5,1
6721,2149,Dundas St West at East Mall Cres,43.6307,-79.549,5,1
6745,6072,Sheppard Ave West at Keele St,43.745,-79.4861,5,1
6822,6070,Sheppard Ave West at John Drury Dr,43.7481,-79.4826,5,1
6874,8850,Wilson Ave at Dallner Rd,43.7199,-79.5137,5,1
6878,13422,2980 Don Mills Rd,43.7823,-79.3523,5,1
6990,7677,Ellesmere Rd at Bellamy Rd North,43.7745,-79.2414,5,1
726,7691,Ellesmere Rd at Helicon Gate West Side,43.7786,-79.2226,5,1
7294,1300,McCowan Rd at Invergordon Ave,43.7873,-79.257,5,1
7343,1045,Ellesmere Rd at Dormington Dr West Side,43.7775,-79.2272,5,1
7405,4629,St Clair Ave East at Santamonica Blvd,43.7129,-79.2767,5,1
7561,2986,Overlea Blvd at William Morgan Dr West Side,43.708,-79.3417,5,1
7581,6486,Kingston Rd at Cromwell Rd West Side,43.7494,-79.2065,5,1
7909,1593,Steeles Ave West at Murray Ross Pkwy,43.7766,-79.5168,5,1
8177,6488,Kingston Rd at Lawrence Ave East,43.7674,-79.1896,5,1
8318,8879,1700 Wilson Ave - Sheridan Mall,43.7206,-79.5109,5,1
8378,14264,150 Staines Rd West Side,43.823,-79.219,5,1
844,9825,Steeles Ave West at Martin Grove Rd,43.7577,-79.6035,5,1
8445,5165,Lake Shore Blvd West at Thirty Seventh St,43.5935,-79.538,5,1
8469,2280,Eglinton Ave East at Kennedy Rd,43.7324,-79.2676,5,1
8602,9781,Steeles Ave East at Silver Star Blvd,43.8251,-79.3004,5,1
8644,7695,Ellesmere Rd at McCowan Rd,43.7724,-79.2512,5,1
8860,2071,Dufferin St at Liberty St,43.6369,-79.4265,5,1
891,9899,Wilson Ave at Billy Bishop Way,43.7332,-79.4529,5,1
896,1666,Wilson Ave at Transit Rd West Side,43.7333,-79.4536,5,1
8998,13344,King St West at Sudbury St,43.6409,-79.4175,5,1
900,9013,5800 Yonge St,43.7841,-79.4168,5,1
9222,5153,Lake Shore Blvd West at Thirteenth St,43.5994,-79.5117,5,1
9369,8887,Wilson Ave at William Cragg Dr,43.7224,-79.5005,5,1
937,2987,Overlea Blvd at William Morgan Dr,43.7078,-79.3416,5,1
9382,5181,Lake Shore Blvd West at Kipling Ave,43.5983,-79.5167,5,1
9413,1308,McCowan Rd at Milner Ave North Side,43.786,-79.2565,5,1
9514,8856,Wilson Ave at Epic Lane Rd,43.7214,-79.5061,5,1
9515,8860,Wilson Ave at Highview Ave East Side,43.7233,-79.4963,5,1
9572,3265,York Mills Rd at York Ridge Rd,43.7445,-79.4014,5,1
9910,8878,Opposite 1700 Wilson Ave - Sheridan Mall,43.7204,-79.5109,5,1
7273,5414,Lawrence Ave West at Weston Rd,43.6999,-79.5168,4,1
7274,4419,Lawrence Ave East at Ling Rd,43.769,-79.1829,4,1
7300,3870,Jane St at Chalkfarm Dr (North) South Side,43.7289,-79.5108,4,1
7311,2193,Dundas St West at University Ave - St Patrick Station,43.6547,-79.3887,4,1
7360,7720,Ellesmere Rd at Warden Ave,43.7614,-79.3004,4,1
7368,7711,Ellesmere Rd at Parkington Cres,43.7732,-79.2464,4,1
7463,7142,Sheppard Ave East at Allanford Rd West Side,43.7821,-79.2938,4,1
7488,7468,York Mills Rd at Harrison Rd,43.7496,-79.3789,4,1
7506,991,Dundas St West at Sterling Rd,43.6506,-79.4433,4,1
7514,4218,Kingston Rd at Eastwood Ave,43.6903,-79.267,4,1
7603,11185,Lawrence Ave East at Morning Dew Rd,43.7722,-79.169,4,1
7612,5167,Lake Shore Blvd West at Third St,43.6017,-79.5009,4,1
7627,13464,2666 Danforth Ave,43.6888,-79.2993,4,1
7677,2394,Eglinton Ave West at Oriole Pkwy East Side,43.7051,-79.4055,4,1
7686,7547,Birchmount Rd at Danforth Ave,43.6968,-79.2638,4,1
