route_long_name,route_short_name,service_id,total_trips,avg_trip_distance_km,avg_duration_min,duration_stddev_min,avg_speed_kmh
SPADINA,310,1,31,4.390412859378323,22.50752688,5.104339356235466,11.592224658625346
SPADINA,310,2,28,4.438678528581347,22.74761905,4.842437473036911,11.601135731240387
SPADINA,310,3,53,4.440815044180402,23.77232704,5.550449906591258,11.213363478312244
SPADINA,310,4,29,4.352930991814055,22.33563218,5.233845285995579,11.575042921030922
ST CLAIR,312,1,20,6.052029842138291,22.86666667,3.9124480827226322,15.761997420675268
ST CLAIR,312,2,20,6.052029842138291,22.86666667,3.9124480827226327,15.761997420675272
ST CLAIR,312,3,21,5.980537939639318,22.73650794,4.460329605135135,15.575097161643244
ST CLAIR,312,4,21,5.980537939639318,22.73650794,4.460329605135135,15.575097161643244
EVANS-BROWN'S LINE,315,1,15,11.92497372229894,29.0,0.0,24.672359425446086
EVANS-BROWN'S LINE,315,2,15,11.92497372229894,29.0,0.0,24.672359425446086
EVANS-BROWN'S LINE,315,3,25,11.937084389328957,29.0,0.0,24.69741597792198
EVANS-BROWN'S LINE,315,4,15,11.92497372229894,29.0,0.0,24.672359425446086
EGLINTON WEST,32,1,561,11.563560688224042,44.22468806,16.63697170512322,16.29024557338985
EGLINTON WEST,32,401,9,7.476522339714898,36.03333333,22.477037665631613,11.693369655868398
EGLINTON WEST,32,2,483,11.650648945194378,40.71276743,14.119873203378015,17.488276664068167
EGLINTON WEST,32,3,433,12.082962907786216,38.4095458,11.868399451556963,18.987523789015544
EGLINTON WEST,32,4,445,11.846481210545877,37.74400749,12.280795541048734,18.971722749473688
YONGE,320,1,73,15.531998001957593,44.06347032,9.71350236998669,20.600825893732644
YONGE,320,2,83,15.353362050176743,46.04698795,10.64775216348795,19.51546134178954
YONGE,320,3,172,14.842967532813375,46.35736434,9.07888096008592,18.83686610225352
YONGE,320,4,83,15.353362050176743,45.92590361,9.48025894117775,19.46102795004122
COXWELL,322,1,14,9.384614233459745,21.27261905,3.374375939616007,26.44076147548332
COXWELL,322,2,14,9.733557126351766,21.99404762,2.4641203648230334,26.56669615973235
COXWELL,322,3,22,9.890572715889324,22.35984848,2.024375817824011,26.549099134925374
COXWELL,322,4,14,9.733557126351766,21.99404762,2.4641203648230334,26.566696159732352
VICTORIA PARK,324,1,13,17.172407782994785,36.38461538,1.3323467750529827,28.35502924491943
VICTORIA PARK,324,2,13,17.172407782994785,36.30769231,1.065877420042386,28.40284631573237
